"Place","Name","Age","Distance","Club","Gender","Year"
1,"BECKY E CROWE","24","5135","STAN","F","1998"
2,"JOHANNA S HARDIN","24","5025","DAM","F","1998"
3,"SARAH L ANDERSON","23","4885","STAN","F","1998"
4,"SARAH H BAKER","23","4820","NEM","F","1998"
5,"JANE M KELSEY","22","4780","STAN","F","1998"
6,"KATHERINE D VEAZEY","24","4765","NEM","F","1998"
7,"SARAH KERLIN","23","4760","CRUZ","F","1998"
8,"ANDREA PARENTEAU","23","4725","GRIN","F","1998"
9,"MEGUMI MASUDA","24","4670","LAM","F","1998"
10,"INDIRA ALLICK","23","4630","H2O","F","1998"
11,"SUSAN PERKINS","22","4620","GRIN","F","1998"
12,"CHRISTIANA ZENNER","19","4565","STAN","F","1998"
13,"NATALIE M MARCONE","24","4450","SANR","F","1998"
14,"CHRISTINA T WONG","23","4375","WPMS","F","1998"
15,"CATHERINE A FUSS","23","4360","EMP","F","1998"
16,"ELIZABETH S BAST","20","4295","STAN","F","1998"
17,"HOLLY H NELSON","21","4290","DAM","F","1998"
18,"ASTRID L WYNHOVEN","23","4275","DAM","F","1998"
19,"MARIAH L POMARES","21","4225","DAM","F","1998"
19,"HEATHER L CLARK","24","4225","EMP","F","1998"
21,"ANGELA M ZANKICH","19","4220","DAM","F","1998"
21,"CATHERI NEUBERGER","21","4220","GSM","F","1998"
23,"MARISSA G WONG","19","4200","DAM","F","1998"
24,"BROOKE O'CONNOR","23","4160","NEM","F","1998"
25,"JULIE A NIELSEN","21","4120","DAM","F","1998"
26,"ELIZABETH FARRELL","24","4100","EMP","F","1998"
27,"NINA WURZBURGER","22","4085","DAM","F","1998"
28,"KARA E JORDAN","21","4060","DAM","F","1998"
28,"SHANNON ENDICOTT","22","4060","DAM","F","1998"
28,"ELENA KAPITONOVA","21","4060","EMP","F","1998"
31,"ERIKA D BERKLEY","21","4030","DAM","F","1998"
32,"RACHEL P WHITE","22","3960","DAM","F","1998"
33,"SAMANTHA BEWLEY","22","3950","DAM","F","1998"
34,"TIFFANY C HUGHES","21","3940","DAM","F","1998"
35,"AIMEE J PFOHL","19","3920","DAM","F","1998"
36,"CHRISTINA CASSINERIO","39","3900","DAM","F","1998"
37,"JEANNE M COON","22","3850","GSM","F","1998"
38,"JANNA WOLTIL","21","3750","DAM","F","1998"
39,"M S-VANHAWELING","24","3735","NEM","F","1998"
40,"LENYA A HANOIAN","20","3695","DAM","F","1998"
41,"MEGAN M MAYHUGH","24","3670","VMST","F","1998"
42,"ROBIN KUROTSUCHI","20","3640","DAM","F","1998"
43,"LAURIE J DEMCHAK","22","3625","NEM","F","1998"
44,"BORI MAZZAG","24","3620","DAM","F","1998"
45,"ELIZABETH R JURRUS","23","3590","DAM","F","1998"
46,"MELANIE C LOVRIN","20","3575","DAM","F","1998"
47,"TOVAH E SKILES","19","3540","DAM","F","1998"
48,"ANNE MARIE VANROY","23","3475","DAM","F","1998"
49,"KELLY A BALLENTINE","19","3430","DAM","F","1998"
50,"VIVIANA L COLOSIMO","22","3400","DAM","F","1998"
51,"AMY J WILSON","21","3320","DAM","F","1998"
52,"LIAN M QUINNELL","23","3290","SANR","F","1998"
52,"AMANDA HOLZHAUSEN","24","3290","GRIN","F","1998"
54,"JENNIFER S RIGGLE","24","3210","DAM","F","1998"
55,"HEATHER J BENSON","22","3185","DAM","F","1998"
