"Place","Name","Age","Club","Distance","USMS_ID","Gender","Year","National_Record"
7,"Jonathan Jones",21,"MOST",4600,"4377-09SC1","M",2017,NA
10,"David Wyatt",21,"NEM",3230,"027D-0ASP5","M",2017,NA
4,"Matthew Howard",23,"ROCH",4890,"047C-0AUMF","M",2017,NA
2,"Gregory Stoffa",23,"BUMS",4995,"0477-0ANUM","M",2017,NA
6,"Mitchell Victoria",23,"CRUZ",4800,"387G-0AJ9E","M",2017,NA
9,"Ethan Carlson",23,"PSM",3990,"3675-07R6K","M",2017,NA
3,"Kristof Kertesz",24,"SFTL",4950,"507J-0896S","M",2017,NA
5,"Reid Swartz",24,"NEM",4870,"0277-0AUU1","M",2017,NA
1,"James Lamb",24,"CRUZ",5055,"387T-08D6P","M",2017,NA
8,"Dillon Buckland",24,"SYSM",4250,"147J-0AHB0","M",2017,NA
10,"Joon-Ho Lee",25,"NEM",4650,"0270-09XB8","M",2017,NA
1,"Sean Monahan",25,"SFTL",5290,"507A-0A8E7","M",2017,NA
18,"Ruben Guerrero",26,"PSM",4100,"367J-0A39D","M",2017,NA
19,"Sean Maynard",26,"NCMS",3815,"1377-0729X","M",2017,NA
20,"Geoffrey Ong",26,"INDY",3800,"167U-0ANNB","M",2017,NA
21,"Joe Tarasevich",26,"NEM",3740,"0277-0ASJB","M",2017,NA
6,"David Stiles",27,"SPM",4765,"147V-06GFT","M",2017,NA
9,"Andrew Magazine",27,"SKY",4660,"417U-0A0JW","M",2017,NA
15,"David Hovey",27,"TNYA",4260,"0670-09RVK","M",2017,NA
2,"Matthew Jaroszewicz",27,"NEM",5000,"027R-085E1","M",2017,NA
2,"Adam Walker",27,"CMYM",5000,"0974-09AAA","M",2017,NA
12,"Thomas Davids",27,"STAN",4425,"387B-09EP2","M",2017,NA
13,"Adam Bossert",27,"AGUA",4400,"0674-0A574","M",2017,NA
14,"Patrick Mccloskey",27,"MOST",4325,"437M-09SBX","M",2017,NA
5,"Frank Ferraro",28,"UMAC",4815,"1074-0APXE","M",2017,NA
17,"Matt Yelin",28,"OREG",4150,"377M-086S0","M",2017,NA
22,"Nick Moloney",28,"TNYA",3430,"067B-09N9Y","M",2017,NA
11,"Isaac Contreras Sandoval",28,"PSM",4530,"367B-096AZ","M",2017,NA
4,"Ben Shupp",29,"UC29",4945,"2970-0ACFH","M",2017,NA
8,"Dave Rossi",29,"NCMS",4700,"137R-0ASV5","M",2017,NA
24,"Gavin Hansen",29,"UC06",3180,"067R-0AS5X","M",2017,NA
7,"Christopher Hepp",29,"SHYM",4705,"127M-09KD0","M",2017,NA
16,"John Thomas",29,"TNYA",4155,"067D-06XD8","M",2017,NA
23,"Bob Wei",29,"TNYA",3265,"0679-099KH","M",2017,NA
25,"Ian Sullivan",29,"TNYA",2880,"067E-0AT9E","M",2017,NA
5,"Patrick Henahan",30,"INDY",4825,"1673-07PDK","M",2017,NA
11,"Mark Fedorchak",30,"BUMS",4350,"047Z-06MB5","M",2017,NA
4,"Anthony Wallace",30,"UC45",4835,"457G-0AUSE","M",2017,NA
26,"Brian Rodkey",30,"TNYA",3140,"067J-082PN","M",2017,NA
3,"Matt Fedderly",31,"MERR",4975,"097W-0AVBK","M",2017,NA
7,"Connor Wallace",31,"NEM",4600,"027F-09KV0","M",2017,NA
12,"Satori Iwamoto",31,"DAM",4215,"387E-071VM","M",2017,NA
20,"Brendan Huang",31,"NEM",3770,"027P-0ACGZ","M",2017,NA
21,"Aaron Rothenberg",31,"SFTL",3715,"507A-08DVD","M",2017,NA
22,"Danny Pho",31,"O*H*",3550,"187V-09SJZ","M",2017,NA
24,"Bo Gillie",31,"NEM",3465,"027F-09REG","M",2017,NA
25,"Michael McNutt",31,"NEM",3225,"0275-0AU7D","M",2017,NA
15,"Ezat Nayeri",32,"INDY",4000,"167N-07ZS5","M",2017,NA
1,"Adam Ritter",32,"CSMT",5540,"177S-07B49","M",2017,NA
10,"Todd Wilson",32,"PBM",4400,"507X-04PPW","M",2017,NA
16,"Michael Cowen",32,"IM",3910,"2174-064YZ","M",2017,NA
18,"Nicholas Normandin",32,"NEM",3875,"027H-0471R","M",2017,NA
29,"Jimmy Courbron",32,"NEM",2500,"0279-09K33","M",2017,NA
8,"Sebastian Cuellar",33,"SFTL",4535,"5078-09K5H","M",2017,NA
9,"Dan James",33,"SCA",4500,"3373-06T2U","M",2017,NA
14,"David Reynolds",33,"PBM",4050,"507F-09C4Z","M",2017,NA
23,"Jaszver Bauzon",33,"BCTM",3470,"0675-07F56","M",2017,NA
28,"Wesley Hitchcock",33,"SFTL",2550,"507P-0AGS0","M",2017,NA
6,"Jonathan OLoughlin",34,"UMAC",4775,"107V-09P0V","M",2017,NA
13,"Jonathan Hartwell",34,"SPM",4175,"147N-0A23N","M",2017,NA
19,"Robert Craddock",34,"FFH",3800,"117G-0AP9M","M",2017,NA
2,"Andrew Schaefer",34,"BUMS",5050,"047A-06Z6S","M",2017,NA
17,"Mike Stadnisky",34,"OREG",3900,"377D-0AK3V","M",2017,NA
27,"Jeffrey Malone",34,"NASH",3050,"157D-0A6JX","M",2017,NA
27,"Chris Benning",35,"IM",3925,"217E-09NP3","M",2017,NA
33,"Nathan Burstein",35,"TNYA",3800,"067G-07S0X","M",2017,NA
45,"David Houck",35,"GTX",3175,"4376-07SBW","M",2017,NA
6,"Juan Cuellar",35,"SFTL",4840,"507H-09NRG","M",2017,NA
21,"Kevin Pearson",35,"OREG",4120,"3774-0271J","M",2017,NA
23,"Jonathan Smith",35,"TNYA",4025,"067C-08CVR","M",2017,NA
47,"Paul Philley",35,"DAM",3125,"387P-08FAV","M",2017,NA
4,"Matt Roper",36,"DAM",4985,"387V-03TFC","M",2017,NA
17,"Scott Loder",36,"PBM",4395,"507Z-0A4E9","M",2017,NA
39,"P.J. Skarlanic",36,"SFGG",3500,"3875-07WJ8","M",2017,NA
40,"Christopher Miller",36,"PALM",3440,"557V-0ANYE","M",2017,NA
2,"John Batchelder",36,"CMS",5090,"3271-086NY","M",2017,NA
9,"Jonathan Feddock",36,"SKY",4630,"4175-074U1","M",2017,NA
10,"Svenn Andersen",36,"AGUA",4625,"067Z-0A5TA","M",2017,NA
15,"Bentley Walker",36,"INDY",4450,"167H-01WWU","M",2017,NA
31,"Sam Massey",36,"PBM",3850,"507T-04F67","M",2017,NA
38,"Wesley Merkle",36,"INDY",3550,"1679-02B68","M",2017,NA
44,"Jason Sarrazin",36,"CDAT",3270,"357U-06388","M",2017,NA
46,"Adam Hergenrother",36,"NEM",3170,"027R-0ATEG","M",2017,NA
5,"Kyle Poland",37,"UC17",4880,"177D-077RF","M",2017,NA
7,"Patrick Billingsley",37,"PBM",4795,"5074-06G1T","M",2017,NA
8,"Daniel Lotano",37,"PBM",4680,"507Z-0A95Y","M",2017,NA
29,"Patroklos Karantinos",37,"NEM",3920,"027U-09R13","M",2017,NA
51,"Pradeep Chalicheemala",37,"SFGG",1725,"387T-09VEG","M",2017,NA
37,"J Daniel",37,"TNYA",3650,"067G-080UX","M",2017,NA
1,"Stephen Rouch",37,"INDY",5130,"167P-R0UCH","M",2017,NA
13,"Richard Kruger",37,"OREG",4535,"3776-0AAA3","M",2017,NA
18,"Shawn Nowak",37,"SMS",4300,"247F-0A1C7","M",2017,NA
25,"Daniel O'Kane",37,"UC30",4020,"3079-05TNN","M",2017,NA
43,"Brandon Boger",37,"UC36",3275,"3673-0APKH","M",2017,NA
50,"Jantzen Eddington",37,"UC21",2500,"217A-09MKD","M",2017,NA
19,"Henry Chan",38,"SMM",4255,"3872-03UWX","M",2017,NA
36,"Michael Capuzzi",38,"TNYA",3685,"067M-05GVR","M",2017,NA
42,"Jake Brandau",38,"VAMP",3310,"167V-0AB10","M",2017,NA
48,"Christopher Forero",38,"UC06",2915,"0678-0ARUA","M",2017,NA
49,"Adam Goode",38,"FFH",2580,"1177-0AMYC","M",2017,NA
12,"Johnny Van Velthuyzen",38,"PSM",4550,"367D-06TTA","M",2017,NA
3,"Sean Perschy",38,"NCMS",5010,"137Z-002EW","M",2017,NA
20,"Jahi Thompson",38,"ARIZ",4150,"487H-0AG03","M",2017,NA
22,"Evan Cobb",38,"TNYA",4070,"067J-06YCF","M",2017,NA
26,"David Schacht",38,"INDY",4000,"167G-09NCA","M",2017,NA
27,"Matthew Leonard",38,"UC04",3925,"047V-0AR8P","M",2017,NA
16,"Randy Stotler",39,"MOVY",4445,"287A-06G5W","M",2017,NA
23,"Michael Leake",39,"NEM",4025,"0277-SAVED","M",2017,NA
30,"Oleg Mustiazza",39,"SMM",3885,"387D-06M9Y","M",2017,NA
32,"Richard Sweetman",39,"NEM",3810,"027D-0AAM2","M",2017,NA
35,"Jeff Klingner",39,"GOOG",3745,"387W-0A9UC","M",2017,NA
41,"Fernando Aguilar",39,"TNYA",3380,"067N-0834H","M",2017,NA
11,"Brendan Wright",39,"NEM",4575,"027R-076AC","M",2017,NA
14,"Scott Ross",39,"TPIT",4525,"117T-08EC5","M",2017,NA
33,"Jeremy Forst",39,"INDY",3800,"167F-08B6M","M",2017,NA
1,"Bo Simpson",40,NA,5470,NA,"M",2017,NA
2,"Matt Miller",40,"OREG",5140,"3779-1500F","M",2017,NA
10,"Will Clark",40,"OREG",4560,"377T-04225","M",2017,NA
25,"Aaron Jasper",40,"SCA",4225,"337F-09WY0","M",2017,NA
36,"Andrew Anderson",40,"PBM",3910,"507B-094US","M",2017,NA
38,"Colin Goldsmith",40,"PBM",3880,"507N-09MSZ","M",2017,NA
67,"Dawson Hughes",40,"SYSM",3000,"1473-0AB3Y","M",2017,NA
70,"Chris Eustace",40,"NEM",2850,"027G-0A8TM","M",2017,NA
72,"Matt Coarr",40,"NEM",2670,"027Y-06143","M",2017,NA
13,"James Adams",40,"KM",4500,"357H-JAMES","M",2017,NA
19,"Ethan Andrews",40,"NEM",4400,"0271-0987U","M",2017,NA
23,"Patrick Sullivan",40,"YSTM",4320,"2273-0AVJT","M",2017,NA
41,"Rhett Paul",40,"AQST",3750,"5272-09RT2","M",2017,NA
48,"Daniel Spurling",40,"NEM",3550,"0272-09J0A","M",2017,NA
54,"Patrick Hiller",40,"OREG",3440,"377N-07JW5","M",2017,NA
60,"Mark Trenteseaux",40,"NEM",3345,"027S-09RDH","M",2017,NA
13,"Chris Donnermeyer",41,"OREG",4500,"3778-06UPX","M",2017,NA
32,"Alexander Shavrov",41,"NASH",4020,"157S-09ZC1","M",2017,NA
39,"Michel Vogel",41,"SFTL",3850,"507J-080T2","M",2017,NA
58,"Edmund Hipp",41,"LOCO",3375,"557T-08D80","M",2017,NA
58,"Troy Lerner",41,"UC32",3375,"3279-0AR8S","M",2017,NA
61,"David Lin",41,"FRNY",3310,"067R-06AYF","M",2017,NA
64,"Jimmy Wu",41,"NEM",3185,"027D-0ANAD","M",2017,NA
65,"Josh Nelson",41,"MLAM",3125,"1975-0ARZK","M",2017,NA
16,"C. Nathan Porter",41,"MOST",4490,"437A-02GDM","M",2017,NA
18,"Jeremy Cole",41,"PBM",4470,"507F-BAJAN","M",2017,NA
44,"Ian Vacin",41,"SFGG",3605,"387C-0AS25","M",2017,NA
56,"Graham Somerall",41,"LOCO",3400,"557V-09V3E","M",2017,NA
13,"Rob Hathaway",42,"ROCH",4500,"0474-06X52","M",2017,NA
21,"Alex Crooks",42,"OREG",4355,"377P-0794R","M",2017,NA
28,"Todd Lantry",42,"OREG",4085,"377B-02619","M",2017,NA
31,"Jason Murray",42,"SKY",4025,"4174-084ND","M",2017,NA
47,"Brent Rockafellow",42,"MLAM",3580,"1973-0A7HK","M",2017,NA
69,"Dhiraj Bokey",42,"SRVM",2900,"3876-0ASNJ","M",2017,NA
6,"Doug Doucet",42,"NEM",4700,"027V-034SM","M",2017,NA
9,"John Hart",42,"MICH",4600,"197S-062VV","M",2017,NA
19,"Matthew Ringler",42,"PBM",4400,"507N-0AG6H","M",2017,NA
48,"Michael McCulloch",42,"INDY",3550,"1673-087H8","M",2017,NA
53,"Brett Johnson",42,"OREG",3455,"377H-06BDH","M",2017,NA
3,"Barry Hein",43,"PMST",5115,"5477-0259K","M",2017,NA
11,"Eric Hatch",43,"SNM",4555,"387U-02WHA","M",2017,NA
16,"Rob Starkey",43,"NEM",4490,"027A-028UE","M",2017,NA
34,"Elliot Jones",43,"MOST",3990,"437H-0A6PW","M",2017,NA
43,"Brendan Banovic",43,"NBPB",3650,"027W-0A323","M",2017,NA
45,"Robert Casalaina",43,"LTMM",3590,"077N-0AU7M","M",2017,NA
