"Place","Name","Age","Distance","Club","Gender","Year"
1,"Emily Wang",24,5075,"NEM","W",2003
2,"Rebekah Lorenz",22,5005,"NEM","W",2003
3,"Gin Morgan",22,4895,"LOM","W",2003
4,"Michelle Pizzo",22,4820,"1776","W",2003
5,"Shannon Yott",24,4805,"1776","W",2003
6,"Kimberly Parkinson",21,4765,"MINN","W",2003
7,"Neala Kendall",23,4740,"SCAM","W",2003
8,"Kelly Nagle",21,4650,"NEM","W",2003
9,"Deny Soto",24,4605,"METR","W",2003
10,"Sarah Leone",24,4600,"ISF","W",2003
11,"Stacey Klepel",24,4570,"WMAC","W",2003
12,"Alexandra Gudmundsson",20,4525,"UCLA","W",2003
13,"Ellen Dreifuerst",22,4520,"UCLA","W",2003
13,"Nicolette Grams",19,4520,"UCLA","W",2003
15,"Mackenzie Nolan",20,4505,"UCLA","W",2003
16,"Rebecca Pontius",23,4480,"UCLA","W",2003
17,"Gina Dhom",24,4475,"OREG","W",2003
18,"Janet Lorang",21,4465,"NEM","W",2003
19,"Nichole Ellis",23,4425,"ISF","W",2003
20,"Sari Bushman",24,4370,"SCAM","W",2003
21,"Bonnie Schwartz",23,4330,"METR","W",2003
22,"Julie Bard",24,4325,"NEM","W",2003
23,"Danielle Ebnother",21,4315,"OREG","W",2003
24,"Helen Lawrence",20,4300,"UCLA","W",2003
25,"Whitney Smith",20,4290,"UCLA","W",2003
26,"Brighid Duyer",23,4245,"ISF","W",2003
27,"Brigitta Ruggiero",23,4225,"SAWS","W",2003
28,"Julia Stewart",21,4190,"UCLA","W",2003
29,"Glenna Asmus",23,4170,"ISF","W",2003
30,"Lauren Fabian",22,4165,"NEM","W",2003
31,"Pia Saunders",23,4160,"METR","W",2003
32,"Lisa Picek",23,4085,"ISF","W",2003
33,"Olivia Roberts",24,4020,"SCAM","W",2003
34,"Jenni Watts",23,4000,"ISF","W",2003
35,"Heather San Bento",23,3970,"NEM","W",2003
36,"Garen Mattioda",24,3940,"OREG","W",2003
36,"Rebecca Haw",23,3940,"SCAM","W",2003
38,"Lauren Valk",22,3920,"UCLA","W",2003
39,"Hailey Foster",22,3900,"OREG","W",2003
40,"Holly Fish",20,3885,"UCLA","W",2003
41,"Caitlin Barreto",19,3880,"UCLA","W",2003
41,"Johanna Sneed",22,3880,"ISF","W",2003
43,"Erica O'Connell",23,3875,"NEM","W",2003
44,"Jennifer Cheng",23,3855,"NEM","W",2003
45,"Laura Maccoll",21,3800,"CRUZ","W",2003
45,"Melinda Antonucci",23,3800,"SAWS","W",2003
47,"Melissa Giovanni",23,3785,"UCLA","W",2003
48,"Dawn Ahlgren",24,3765,"DAM","W",2003
49,"Carolyn Wall",24,3750,"NEM","W",2003
50,"Angela Lang",24,3745,"NEM","W",2003
51,"Kathleen Lazinski",24,3700,"UNAT","W",2003
52,"Monica MacDonald",23,3620,"TAM","W",2003
53,"Kortney Webber",24,3610,"UCLA","W",2003
54,"Megan Pickering",20,3600,"UCLA","W",2003
55,"Catherine Albaugh",22,3585,"INWM","W",2003
56,"Dawn Perliner",23,3520,"NEM","W",2003
57,"Sarah Welchans",24,3500,"UCLA","W",2003
57,"Michele Robinson",23,3500,"TAM","W",2003
57,"Allison Strobel",19,3500,"NEM","W",2003
60,"Serena Kwan",23,3480,"SCAM","W",2003
61,"Rachel Cilley",19,3450,"NEM","W",2003
62,"Elena Denio",22,3345,"CVM","W",2003
63,"Deborah Rothrock",23,3310,"MOST","W",2003
64,"Niki Crystal",24,3185,"UNAT","W",2003
65,"Way Chung Cheng",20,3070,"UCLA","W",2003
66,"Annie Kaufman",24,3045,"NEM","W",2003
67,"Sarah Goldfine",24,2810,"NEM","W",2003
68,"Amber Foster",23,2740,"RGSC","W",2003
69,"Alexandra Van Binsbergen",22,2640,"NEM","W",2003
70,"Roylena Sibley",23,2200,"WTMS","W",2003
71,"Jessica Dalton",20,1510,"PNA","W",2003
1,"Meghan Hast",27,5275,"METR","W",2003
2,"Jessica Stokes",26,5150,"NEM","W",2003
3,"Laura Koch",26,5140,"H2O","W",2003
4,"Heidi DeCosta",26,4990,"CONN","W",2003
5,"Miriam Carlson",25,4935,"MICH","W",2003
6,"Fiona Petersen",29,4830,"NOVA","W",2003
7,"Carrie Nordberg",26,4800,"PNA","W",2003
8,"Helen Salcedo",27,4775,"SCAM","W",2003
9,"Christen Deveney",26,4770,"NEM","W",2003
10,"Jean Dillon",28,4750,"PNA","W",2003
11,"Erin Powers",27,4730,"NEM","W",2003
12,"Andrea Packard",28,4685,"NEM","W",2003
13,"Jennifer Clifford",25,4630,"SKY","W",2003
14,"Kirstin Wilson",28,4625,"ISF","W",2003
15,"Florence Chretien",28,4590,"NEM","W",2003
16,"Katie Stuppi",26,4570,"UCLA","W",2003
17,"Heather Royer",28,4550,"SCAM","W",2003
18,"Allison Hilgers",25,4545,"UCLA","W",2003
19,"Molly Drehs",28,4520,"SKY","W",2003
19,"Erin Ford",27,4520,"GCMT","W",2003
21,"Elisa Greenwood",29,4515,"UCLA","W",2003
22,"Carolyn Clay",25,4475,"ISF","W",2003
23,"Shanna Guzman",26,4450,"UNAT","W",2003
24,"Gail French",28,4405,"NEM","W",2003
25,"Leah Angell",27,4385,"UCLA","W",2003
26,"Amy Freed",25,4380,"NEM","W",2003
