"Place","Name","Club","Age","Distance","Gender","Year"
"19","Matt Chambers","MERR","33","4555","Men","2009"
"20","Michael R Beauregard","UCLA","34","4520","Men","2009"
"21","Tim Cutler","DAM","32","4480","Men","2009"
"21","John J Hart","MICH","33","4480","Men","2009"
"23","Bryan A Mueller","SAWS","31","4475","Men","2009"
"24","Hugh M McGowan","TNYA","31","4465","Men","2009"
"25","Taylor C Boas","SCAM","32","4425","Men","2009"
"26","Peter A Outzen","DAM","34","4415","Men","2009"
"27","Christopher R Feaster","SPM","34","4400","Men","2009"
"27","Peter C Bigler","WMST","33","4400","Men","2009"
"29","Daniel G Gettings","TNYA","30","4350","Men","2009"
"30","Mark V O'Malley","ISF","32","4300","Men","2009"
"31","Kyle M Penshorn","MOST","33","4235","Men","2009"
"32","Todd M Burgette","NTEX","34","4170","Men","2009"
"33","Paris T Chong","UCLA","34","4150","Men","2009"
"33","Peter J McGrane","TNYA","34","4150","Men","2009"
"35","Jonathan Wagher","PNA","30","4065","Men","2009"
"36","John F Crowe","MESC","30","4050","Men","2009"
"37","James M Cronin","TNYA","30","4005","Men","2009"
"38","Jeremy M White","SKY","33","4000","Men","2009"
"39","Eleazar Eskin","UCLA","33","3970","Men","2009"
"40","Jacob W Brickman","ARKM","32","3925","Men","2009"
"41","Nick G Bateman","OREG","31","3880","Men","2009"
"42","Braemon M Hanes","CSAM","34","3750","Men","2009"
"43","Nathan R Menard","NEM","30","3745","Men","2009"
"44","Eric S Samek","UCLA","33","3735","Men","2009"
"45","Kjell N Stava","LBG","31","3700","Men","2009"
"46","Kaveh Maghsoudi","NEM","33","3650","Men","2009"
"47","Lennard Hachmann","MELO","32","3625","Men","2009"
"48","Jeff W Hodges","PMST","33","3565","Men","2009"
"49","Michael J Keppler","ISF","32","3555","Men","2009"
"50","Brian Meehan","NEM","32","3465","Men","2009"
"51","Nick Willis","DAM","31","3425","Men","2009"
"52","Richard E Thompson","METR","34","3420","Men","2009"
"53","Francois A Martin","METR","32","3360","Men","2009"
"54","Dan Scott","UNAT","32","3325","Men","2009"
"55","Chia‐Han (Henry) Hsieh","UCLA","33","3295","Men","2009"
"56","Jeffrey J Torborg","MVM","34","3285","Men","2009"
"57","Adwait Sathe","NEM","33","3275","Men","2009"
"58","Jochen Hoppert","NIAG","31","3250","Men","2009"
"59","Chris Camburn","UNAT","34","3040","Men","2009"
